source_id,ra,dec,l,b,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe,ag_gspphot,abs_mag_g,parallax_over_error
6027717185232486784,253.49880641691072,-31.650180911082703,351.3918231202027,7.596469696246791,0.655231874835841,0.019741394,13.647222,0.72494316,0.9345218,,2.7291966464366766,33.19076085801945
6027719766579024896,253.5395060002863,-31.563125163686227,351.4823335077552,7.623520167548969,1.5383574523995516,0.034021355,15.237168,1.3124447,1.1297208,,6.1724546108807985,45.2174066207961
6027742650169188096,253.48145593732804,-31.37497381334297,351.5998735114534,7.779356152966915,0.34606266476443204,0.019794945,13.884007,0.71131897,0.96488506,0.2303,1.3494811977123629,17.48237595343618
6027763575252880896,254.06095985437605,-31.064341166036527,352.15579015731157,7.582957704730557,1.1236841651504224,0.03053911,14.9782715,1.0292549,0.9696456,,5.231492788729064,36.794921463144036
6027815252253547136,252.52538561775316,-31.632760478382277,350.88128303240427,8.253265892337017,1.0651809814383224,0.0554707,16.264107,1.5631685,1.0215896,1.1919,5.2093237536506685,19.202587245868912
6027823700436024960,252.79768040970225,-31.594309991553637,351.0589106370214,8.097264283806092,1.0371621975139353,0.04369689,15.660694,1.3165073,1.040524,0.9265,4.813427496009194,23.735377083368917
6027879917289544448,251.83258020136944,-31.377889322704668,350.7025892298282,8.871842146790875,1.0200455760892357,0.022081291,14.419048,1.1276894,0.95700884,0.3964,4.065746188029387,46.19501468869566
6027881051160942208,251.80657185529972,-31.33141089883997,350.72460576662587,8.91853686780188,0.09627970734210706,0.016740419,13.453304,2.5849276,1.0731179,,-1.6290219017485121,5.751332001384388
6027906614788592512,252.48349798077282,-31.05057662938396,351.31546543953533,8.647949990349428,3.7370345582364863,0.3562813,19.311031,2.9427795,1.0121046,,12.173666911590345,10.488999703299198
6027912455958844800,252.31919091866058,-31.05479620764174,351.22235416315243,8.754533782483316,0.40410510690008694,0.07993009,16.735054,1.6322794,0.98487353,0.885,3.8825257201363765,5.055731951035469
6027914998579569536,252.18253055792775,-31.048708199016747,351.15227531852696,8.849128027761253,0.9951581668145284,0.049973775,15.954604,1.566679,0.99825007,0.77,5.174064725012256,19.913608142702653
4317919124542704000,293.3211647274737,13.84512641096715,50.0114735960656,-2.7392615706614944,0.4722983785260813,0.073605016,16.92496,1.5361557,1.0352452,1.1185,4.177541461354497,6.416660235970391
4317920322786216704,293.32516141603026,13.908303469992973,50.0687629550748,-2.712210742895637,1.3295871401339485,0.014766101,11.860068,1.7927885,0.98651993,1.2678,1.2108523773987105,90.0432117236584
4317927061642784896,293.6256383329685,14.050133275709893,50.3340308472656,-2.899119432083085,0.2518307412704994,0.03619481,12.722092,3.968813,0.94216454,,-0.2723646060017053,6.957648064759827
4317944791268949888,294.1822919563322,14.23029895412136,50.75378874527719,-3.284017099256493,0.51804582390334,0.051341716,16.520754,1.5064344,1.0173997,0.0422,5.050394746864054,10.090154015969508
4317986126027554432,294.43413113061814,14.106306885505091,50.764182669401364,-3.557676502688405,0.8594310324131995,0.016217085,13.776448,1.3958807,0.9335592,1.3806,2.0669034301075193,52.99540907202071
4317991413085899776,294.40413799487493,14.2113979818694,50.84198182257137,-3.4811258588266587,0.2642781132459741,0.042715475,12.55249,3.8301563,1.0697793,,-0.3372037776261152,6.186940762656314
4317991864104034432,294.49960063182397,14.250730177363087,50.92153849567421,-3.542801477923614,0.43663610805675857,0.03766652,15.51826,1.0698938,0.94506717,1.2096,2.509258266724233,11.592154742339405
4318020073451160960,294.7876082180421,14.37529054637902,51.16688541794991,-3.7256698157278683,0.2889706461289864,0.03342382,15.357996,1.9634619,1.0187411,2.0997,0.5625646579471564,8.645650252397933
4318022581711983872,294.95596135598106,14.475932528814935,51.33474642818067,-3.818713946782655,0.5070393868655865,0.06686578,17.081224,1.4627705,1.0031917,0.7332,4.8732329112831785,7.582942888938789
4318038662070596864,294.19742794806547,14.246600265377065,50.7751995232484,-3.2889218755973646,0.49526653285501404,0.08077336,17.368761,1.509819,1.0131031,0.9826,4.860355998717846,6.131557812581128
4318038833869299968,294.1968423852884,14.262021140302142,50.788424249722006,-3.2809339883341493,0.6170037239122139,0.07997489,17.305397,1.6834908,1.006096,0.2585,5.9983359499952975,7.714968108120685
4318106041520787456,294.64602996024513,15.003133122861314,51.648789880874276,-3.299544799359423,0.3164517729013009,0.03981844,15.927869,1.3091736,1.0127151,1.5919,1.8375065176686611,7.9473674965853265
4318161360681591680,293.42343923672445,14.41883645753465,50.562458516166785,-2.549414957414185,2.052292104995053,0.023820894,15.05462,1.4351759,0.964878,0.6275,5.988315663762723,86.15512578435913
4318165277691908992,293.2772679853216,14.463648830565814,50.53339312086253,-2.403805460841763,1.642997133758365,0.02649013,15.349006,1.4648685,0.95487005,0.6598,5.767389735120737,62.02299357845779
4318166686441210880,293.3171076706472,14.521012151413926,50.60230747535844,-2.4099324171354795,0.7924769502643794,0.05207857,16.599806,1.8465042,1.0119356,2.3058,3.788939067422188,15.216948784344481
5900978477088144256,223.24824512797304,-51.44515854777182,321.4531511669597,7.002003045369183,0.7004867737668213,0.04374261,15.901784,1.2189932,1.0733901,0.8215,4.307283637702453,16.013831852438376
5900980676109733248,223.35424037606347,-51.350265420489976,321.55594933029295,7.05649048065612,0.7390698634117574,0.08298451,17.178991,1.66992,0.99869984,1.013,5.509418774734435,8.906118616389419
5900982772047497088,224.15482666393126,-51.95671854718734,321.71903083341874,6.289521859095554,1.4262843519386097,0.04367254,15.438195,1.2447624,1.3854036,0.1688,6.040425819692082,32.65860824681204
5900984249516312192,224.14047672856245,-51.855489017694346,321.7585111763916,6.3832559816853545,1.9530842195958291,0.017746104,13.781318,0.9703932,0.9999976,0.3341,4.900822558109583,110.05707098164908
5900985761344809216,224.165037815255,-51.838310755533755,321.7800671859828,6.391404675525376,1.0683726232168005,0.027781352,15.141469,1.0844221,1.0248024,0.4876,4.797482757075738,38.456465610609186
5900987410612651648,224.0468227582644,-51.83945729611296,321.71444262745774,6.424321598162309,2.5356890277892536,0.033483636,15.414469,1.695118,1.0115227,0.6114,6.823548714075361,75.72920263176366
5900988063447332608,223.95843374364821,-51.81411513799706,321.677534007313,6.472085401748543,4.849328517956659,0.016033068,13.405215,1.3044205,0.8848955,0.2464,6.5872232967488,302.4579218046704
5900993354847417984,224.46540379927768,-51.692973930198434,322.01379297693023,6.4330155886897655,0.3755396978198195,0.062245097,16.843256,1.4995213,1.0105731,0.8469,3.8696352728346355,6.033241425448763
5900997542414332032,224.34759831366426,-51.636991325494385,321.97523255588106,6.5167129909212065,0.5505831912138847,0.10073228,17.566536,1.4021645,1.1300995,0.4662,5.804450698911392,5.4658068034706035
5901009847521688832,224.07728005736533,-51.54779158351627,321.8675271265224,6.67391195165116,1.0134027097342877,0.0667257,16.675709,1.4706726,0.9798694,0.4343,6.270319071390215,15.18759178433524
5901020632157870848,224.61303653347363,-51.48049443281152,322.19586573509713,6.577364571823521,0.5983493017733712,0.098674044,17.613693,1.5439911,1.0389595,0.5382,5.960267159405959,6.063897631421681
5901030600804611328,224.6603858811973,-51.32339382262669,322.29671380147937,6.701939017578873,1.2671132070584379,0.021215504,14.372741,0.96574116,0.96373546,0.1828,4.70401783845122,59.72581207342101
5901040840006508288,224.1811523729229,-51.241300541886616,322.0689013454323,6.915061944182908,0.7914520654035931,0.0368534,15.732887,1.3366156,0.9905278,1.3427,3.882310347407895,21.475687023079743
5901060317655805568,223.65671864054815,-51.36486405950268,321.71849083953913,6.957172574798952,0.7707498877680625,0.06892678,16.784895,1.4355278,0.94809514,0.7539,5.465562302521079,11.182154047161507
5901070251944264448,223.51319839396513,-51.412138871558696,321.61647162311914,6.9561771045785745,1.1566221464596123,0.014532265,12.875483,1.0760279,0.9649287,0.6794,2.5120400509793424,79.58994184969126
5901071999966945152,223.5079489326336,-51.287572914951475,321.6709073233775,7.068464001441912,1.7571298886891304,0.027945722,15.080775,1.2652073,1.0513315,0.291,6.013794583028606,62.87652610105294
5901096021748791424,224.13878310595084,-50.942743843313956,322.18533335910234,7.1916342760166305,0.5594654295911892,0.014858427,13.416189,0.48019505,1.0388716,,2.1550554728764073,37.65307137589186
5901101931624071168,224.29239673827792,-50.844696565301575,322.31783939332,7.233113165021879,1.7956815084199693,0.03525241,15.118061,1.3846531,1.0154362,,6.3892076176378225,50.93783550216515
5901111032633553920,223.79416323070893,-50.865344195126035,322.0273719580439,7.360953530581142,1.3824347257141454,0.1902315,18.54357,2.4722366,1.0670222,0.5498,8.696992758189104,7.267117752696404
5901116946830193920,224.30593458061526,-50.68395724276431,322.40131186114047,7.371154331009861,0.5671171533688639,0.031013452,15.180008,1.0798378,1.030022,1.3421,2.606271827439823,18.286166989984867
5901121001279490560,224.12661917225745,-50.62857147973123,322.32602685383506,7.4732212416620305,1.1487631611831477,0.019599004,13.89893,0.8067169,1.0009984,0.2651,3.934982093959965,58.6133447267498
5901144881292163840,222.05030475905704,-51.7332146744727,320.6524655057539,7.0757091421699,0.6506940049864096,0.042846803,16.023346,1.4783535,0.9843485,0.4626,4.627629981933289,15.18652420171706
5901146358761131264,221.97040477604352,-51.638717065191116,320.6491682401658,7.1823528241034476,0.7849812562094283,0.030226955,15.002318,1.3706989,1.0094607,0.8791,3.5975147914676135,25.969577526660995
5901158350310263808,222.77954781549516,-51.60625259513867,321.11774394731344,6.989522523169353,0.7384225016815894,0.08864163,17.374296,1.4784508,1.0322706,0.5226,6.193220804808401,8.33042570576052
5901177110728118912,222.51335111679865,-51.35143723773451,321.0825915961612,7.291515450629179,2.9348119908972885,0.018551221,13.994605,1.277772,0.95389456,0.3046,6.0279064881278295,158.2004749082633
5901191679257595776,222.8914403962155,-50.98246637005578,321.4626680963393,7.5157629057385344,1.4419658324816766,0.017214598,13.762068,0.8580532,1.0003312,0.2158,4.341042641862705,83.76412979518183
5901206728823481216,222.0517684245341,-51.321972097094566,320.83469899592905,7.445090739381898,1.1644365272635733,0.037470546,15.904388,1.2462759,1.0047756,0.2124,6.022567525387949,31.076049414411557
5901227035429382528,222.06449980289935,-50.953187660188256,321.00491747443607,7.773114434327031,0.34904065927135836,0.03369506,15.243195,1.2079868,1.0152282,0.8605,2.0970747034083246,10.358807831204764
5901233185823046784,222.2575875518853,-51.10800604620852,321.0463219825279,7.580679694046974,0.5194917362277172,0.1023308,11.186792,7.0870275,1.2731683,,-0.23531440912171142,5.076592329963245
5901242806550336256,222.4617479357192,-50.890508294700524,321.2596359026584,7.718943585163203,2.524364370091861,0.033323366,14.949247,1.4869032,0.9615097,0.3772,6.582807561473718,75.75358249591835
5901264070903878656,223.28047621737548,-51.18758685990555,321.58906464853845,7.222365741050046,1.2225344343614408,0.13162707,18.096945,2.0302048,0.9803256,0.4895,8.043750325130741,9.28786497828499
5901274108268601856,223.5033612602261,-50.93762273055697,321.82963487470283,7.380998046523946,1.3711774409469286,0.074572094,16.84045,1.6555147,1.0707868,0.3257,7.2002185694613345,18.387272924154473
5901278128358100608,223.35387724182786,-50.860598341645776,321.7804980046762,7.492564430887845,1.7443845919962608,0.028239876,15.020922,1.2020187,1.035932,0.2474,5.98173291611872,61.77026379390958
