gaia_source_id,gaia_ra,gaia_dec,gaia_l,gaia_b,gaia_parallax,gaia_parallax_error,gaia_phot_g_mean_mag,gaia_bp_rp,gaia_ruwe,gaia_ag_gspphot,gaia_abs_mag_g,gaia_parallax_over_error,asassn_asassn_id,asassn_ra,asassn_dec,asassn_asassn_mag,asassn_amplitude_asassn,asassn_period_asassn,asassn_class,asassn_Prob,asassn_HJD,asassn_Plx,asassn_e_Plx,asassn_pmRA,asassn_e_pmRA,asassn_pmDE,asassn_e_pmDE,asassn_Vt,asassn_Dist,asassn_WISEA,asassn_J-K,asassn_W1-W2,asassn_APASS,asassn_B-V,asassn_E(B-V),asassn_Ref,asassn_GaiaDR3,asassn_GALEX,asassn_TIC,asassn_pm,asassn_URL,asassn_2M,separation_arcsec,position_match_ok,gaia_asassn_mag_delta,magnitude_match_ok,color_match_ok,crossmatch_quality_ok
423230617137870080,1.3483418504503015,59.50511880257788,117.11251731258614,-2.845376791329722,0.5540454986169635,0.014513498,13.972783,1.2685003,1.030924,1.1798,1.5107101538489618,38.174497878937494,J000523.58+593018.5,1.34826,59.50513,14.36,1.0,2.5742,EA,0.998,2457643.83628,0.5540,0.0145,3.020,0.014,5.283,0.016,16.86322,1710.47803,J000523.60+593018.3,0.609,0.002,3289969,0.988,0.920,IX,423230617137870080,,347114056,6.085,URL,2M,0.15486764121914862,True,0.3872169999999997,True,True,True
423947739238203008,15.934436621802051,56.59950843610684,124.6341408208706,-6.231583781446023,0.3129732783349302,0.031082787,11.880309,3.3187141,1.0771668,,-0.6421547047133416,10.069022392841742,J010344.25+563558.3,15.93436,56.59952,13.61,0.16,37.308,SR,0.986,2457305.04205,0.3130,0.0311,-1.667,0.019,-0.418,0.024,2.75902,2952.56592,J010344.25+563558.2,1.356,-0.152,3304995,1.835,0.417,IX,423947739238203008,,252131864,1.719,URL,2M,0.1574489854787863,True,1.729690999999999,True,True,True
4471205781435072128,272.287971608018,5.0732536489087945,32.66116627902633,11.710231671691693,0.2252761694842753,0.037426166,15.668016,0.81620884,0.9829116,0.2701,2.161492264680798,6.0192157936849675,J180909.12+050423.6,272.288,5.07322,15.89,0.48,0.9715,EW,1.000,2457209.00147,0.2253,0.0374,-1.239,0.034,-4.249,0.036,5.86916,3574.45825,J180909.10+050423.7,0.330,-0.159,34434728,0.604,0.164,II,4471205781435072128,J180909.1+050424,18299436,4.427,URL,2M,0.1582383353992408,True,0.22198400000000085,True,True,True
5088922447691098112,55.4615728034892,-20.328418360889746,212.4309635801617,-50.59726468562136,1.5062369320464497,0.01372023,12.374332,0.77943325,0.98854077,0.1634,3.1003984602097026,109.78219257595899,J034150.77-201942.2,55.46153,-20.3284,12.5,0.18,1.374,EA,1.000,2457617.80610,1.5062,0.0137,10.145,0.014,-4.218,0.012,79.78194,652.75464,J034150.77-201942.3,0.338,-0.030,37670470,0.546,0.055,V,5088922447691098112,J034150.7-201941,121008658,10.987,URL,2M,0.15889607456242266,True,0.12566799999999922,True,True,True
4470067340221927680,273.1988472136477,3.78437909016699,31.90619166496656,10.318556960283946,0.1937864178581957,0.022984263,11.549702,2.5115595,0.959356,,-2.013681325692162,8.431265246929852,J181247.72+034703.9,273.19883,3.78442,12.64,0.16,29.385,SR,0.998,2457918.04897,0.1938,0.0230,-3.569,0.023,-6.792,0.021,8.06867,4507.33252,J181247.72+034703.8,1.175,-0.158,34403376,1.744,0.222,IX,4470067340221927680,,18965908,7.673,URL,2M,0.15972941956061068,True,1.0902980000000007,True,True,True
5542497897836345344,128.8390050850408,-35.423208469669966,255.74326108529303,3.061063823472584,0.0746016368213319,0.011661299,13.068065,2.7853928,1.1781479,1.1713,-3.7394932182215217,6.397369351504657,J083521.35-352523.6,128.83895,-35.42321,13.13,0.19,,L,0.995,2458161.63430,0.0746,0.0117,-1.610,0.011,1.421,0.013,1.27732,7968.81104,J083521.36-352523.5,1.316,-0.083,43733594,1.863,0.457,II,5542497897836345344,,461798049,2.148,URL,2M,0.16169218781724481,True,0.06193500000000007,True,True,True
4471572228050393984,272.9202839705514,5.4474065271769785,33.29067157957283,11.315316897810709,0.2550446691438907,0.02199466,14.607215,1.4867134,1.0620855,,1.6402962524395903,11.595754112311383,J181140.86+052650.7,272.92024,5.44742,14.8,0.13,0.83316,ROT,0.941,2458207.01423,0.2550,0.0220,-2.135,0.024,-2.370,0.023,4.49016,3367.33496,J181140.86+052650.7,0.720,-0.102,34442497,1.221,0.205,IX,4471572228050393984,,324603469,3.190,URL,2M,0.16487458642101357,True,0.19278500000000065,True,True,True
5097337731732985344,59.79795249555599,-16.837993813720352,209.64259297422265,-45.536766030013546,0.5513765565369272,0.028007766,14.971857,1.3793869,0.98423934,,3.67909848401116,19.68655966837652,J035911.50-165016.7,59.79792,-16.83796,15.38,0.39,3.1951,ROT,0.982,2457689.01079,0.5514,0.0280,0.847,0.025,-2.141,0.026,6.40468,1704.00757,J035911.50-165016.7,0.750,0.018,37698605,1.150,0.028,V,5097337731732985344,J035911.4-165015,461715260,2.302,URL,2M,0.16539352829916962,True,0.4081430000000008,True,True,True
4471292234836277504,271.105349481828,4.847598240768785,31.913112778153888,12.661241247482533,0.9070255350307111,0.035435904,15.171478,1.2005987,1.05266,0.3238,4.635775568524457,25.59622960460417,J180425.28+045051.5,271.10533,4.84764,14.99,0.49,,ROT:,0.398,2457829.06170,0.9070,0.0354,1.295,0.030,-0.618,0.034,6.45752,1053.25867,J180425.28+045051.3,0.622,-0.044,,,0.180,II,4471292234836277504,,397998525,1.435,URL,2M,0.16578242762154255,True,0.18147800000000025,True,True,True
5542643480047807616,127.39955248053631,-35.30859579911712,254.9548435136612,2.1831643432645973,0.2326700570237329,0.01720629,14.380865,0.8332138,0.9631052,1.789,-0.5744325185920085,13.522383792423172,J082935.90-351830.8,127.39959,-35.30856,14.06,0.09,,ROT:,0.755,2458014.90125,0.2327,0.0172,-2.023,0.016,3.236,0.020,4.82740,3747.21729,J082935.89-351830.6,0.307,-0.021,,,0.823,II,5542643480047807616,,56898365,3.816,URL,2M,0.16958355380219942,True,0.3208649999999995,True,True,True
5937123856758852864,251.6939251285969,-50.95489710402797,335.62406026479835,-3.669771091589639,0.5918688703051642,0.020284858,13.531493,1.1948261,1.0996965,,2.3926204929812798,29.17786608637656,J164646.54-505717.5,251.69392,-50.95485,13.71,0.9,8.3826,EA,0.997,2457879.63661,0.5919,0.0203,-5.320,0.022,-7.355,0.014,27.24273,1579.38171,J164646.56-505717.5,0.821,-0.069,51373708,0.778,1.018,II,5937123856758852864,,48287472,9.077,URL,2M,0.16997287330098285,True,0.17850700000000153,True,True,True
6030126627526988800,254.72877767268088,-28.739587286152872,354.3695574733766,8.550118237056278,0.1655158410072539,0.02024426,12.122527,2.003686,0.96774054,1.38,-3.163275174613152,8.175939303647251,J165854.91-284422.3,254.72878,-28.73954,12.92,0.17,72.069,SR,0.970,2457888.83965,0.1655,0.0202,-4.290,0.021,-7.175,0.014,7.29310,5433.21826,J165854.90-284422.4,1.026,0.017,53292001,1.870,0.249,V,6030126627526988800,,18157236,8.360,URL,2M,0.17038858989251154,True,0.7974730000000001,True,True,True
5817601101591878272,252.58113878672864,-64.3703027032462,325.43088692143994,-12.53394200202618,0.1981380011625622,0.037963655,11.240221,3.4854622,1.2141674,,-2.274940112653752,5.219149767391,J165019.48-642212.9,252.58107,-64.37034,13.04,0.67,,L,0.999,2457566.59519,0.1981,0.0380,3.278,0.021,-4.863,0.028,6.45286,4307.91846,J165019.47-642213.0,1.269,-0.008,47979256,1.566,0.142,I,5817601101591878272,,447448508,5.865,URL,2M,0.17175969597637197,True,1.7997789999999991,True,True,True
5089231754055311232,62.231714023527424,-23.644122349240643,219.89803374517683,-45.539684155998295,0.7304070385199507,0.022565579,14.936706,0.95935917,0.91986203,0.1541,4.100430747984765,32.36819398784098,J040855.61-233838.7,62.23169,-23.64408,15.08,0.22,0.36407,EW,0.985,2458324.87001,0.7304,0.0226,5.439,0.020,3.997,0.023,24.76079,1292.11047,J040855.60-233838.8,0.521,-0.029,37671465,0.792,0.051,V,5089231754055311232,J040855.5-233839,149839208,6.750,URL,2M,0.17181317781276112,True,0.14329400000000092,True,True,True
5097029318720963328,60.2912879187649,-17.659613708726237,210.9785802666471,-45.39824262152811,1.0814289540356254,0.039076254,15.988538,1.4046707,0.9833879,0.002,6.156527965691114,27.674836846838634,J040109.91-173934.5,60.29131,-17.65957,16.39,0.61,0.2269,EW,1.000,2458037.74288,1.0814,0.0391,10.870,0.034,10.000,0.036,81.25302,861.63495,J040109.90-173934.6,0.716,-0.042,37697454,1.209,0.029,V,5097029318720963328,,461720766,14.770,URL,2M,0.1746338667724932,True,0.40146200000000043,True,True,True
5542527859525842432,127.36993953048588,-36.17638240715721,255.6441791577517,1.6549750741726017,2.192270016719208,0.013132092,13.746144,1.0189247,0.86033,0.0761,5.374514220660975,166.93989173386905,J082928.80-361035.1,127.36999,-36.17641,13.84,0.13,,ROT:,0.939,2457858.63173,2.1923,0.0131,-11.422,0.012,6.192,0.015,137.04663,449.36578,J082928.79-361034.9,0.547,-0.062,43734186,0.871,0.938,II,5542527859525842432,,184453756,12.993,URL,2M,0.17713481762698893,True,0.0938560000000006,True,True,True
4471159606248856832,272.46283210180894,5.063097304617262,32.731766859052975,11.550047868161476,0.2832418855725543,0.038381394,15.4341345,0.7825098,1.0245843,0.2222,2.472721884353395,7.379666449127781,J180951.09+050347.2,272.46288,5.06311,15.52,0.37,0.62155,EW,1.000,2458207.01423,0.2832,0.0384,1.370,0.040,1.578,0.036,3.19843,3096.93213,J180951.08+050347.1,0.330,-0.096,34433692,0.598,0.190,II,4471159606248856832,J180951.0+050348,338297658,2.090,URL,2M,0.17773724019043222,True,0.08586549999999882,True,True,True
5817821072636578432,251.6483406638846,-63.79486544758147,325.631920084149,-11.856655328375044,0.502757629301622,0.052859217,10.542956,4.386997,1.0227143,3.6543,-4.6045506515083625,9.511257597735927,J164635.58-634741.6,251.64826,-63.7949,13.1,0.85,,L,0.999,2457635.61464,0.5028,0.0529,-4.184,0.044,-7.325,0.045,27.11262,1474.78711,J164635.59-634741.4,1.362,0.223,47984496,1.654,0.138,II,5817821072636578432,,447332656,8.435,URL,2M,0.17865059251978357,True,2.5570439999999994,False,True,False
423364413956178944,14.334126129167078,54.86707064176475,123.78880897040194,-7.994865112125026,0.7165727285213368,0.023857854,14.554997,1.1234074,1.0078497,0.7414,3.089898378360117,30.03508733523714,J005720.19+545201.6,14.33411,54.86712,14.82,0.22,0.42958,EW,0.988,2457626.95440,0.7166,0.0239,-3.259,0.018,0.461,0.019,11.67498,1336.31458,J005720.19+545201.4,0.460,0.003,3292864,0.779,0.370,IX,423364413956178944,,445374934,3.291,URL,2M,0.18080423120198222,True,0.2650030000000001,True,True,True
5084833844983377536,53.82254528937837,-25.58801598519255,220.0489626109363,-53.42555031193904,0.5338239388791712,0.049981155,16.426523,0.9721079,0.98641527,0.0368,5.026713227268796,10.680504259638882,J033517.40-253516.8,53.82249,-25.58801,16.55,0.58,0.28106,EW,1.000,2457774.60401,0.5338,0.0500,5.256,0.027,-5.359,0.041,20.42973,1741.57104,J033517.40-253516.9,0.455,-0.041,,,0.016,II,5084833844983377536,,144622164,7.507,URL,2M,0.18080875750517078,True,0.12347700000000117,True,True,True
5091293407076855680,62.047909357714296,-19.901017920792505,214.76102060316217,-44.59987408434967,3.103372149050581,0.014130457,13.524056,1.222662,0.96760625,0.0217,5.961525291372399,219.62291446416637,J040811.49-195403.8,62.04788,-19.90106,13.82,0.42,0.23403,EW,1.000,2457683.75998,3.1034,0.0141,-3.516,0.010,12.989,0.011,200.30628,318.43051,J040811.49-195403.9,0.615,-0.015,37677821,1.025,0.034,V,5091293407076855680,J040811.5-195403,178365263,13.456,URL,2M,0.18117229264904322,True,0.29594400000000043,True,True,True
5542540606988661632,127.36029251392593,-35.965310099361794,255.468523031914,1.7723839805798616,0.5355423121424071,0.020664172,15.079466,1.6260567,0.9884147,1.178,2.545434946371798,25.916466052567074,J082926.48-355755.2,127.36035,-35.96533,14.81,0.24,,ROT:,0.884,2458076.81275,0.5355,0.0207,-8.202,0.022,7.826,0.023,30.49806,1761.93530,J082926.47-355755.1,0.875,-0.010,,,0.810,II,5542540606988661632,,184452853,11.336,URL,2M,0.1821777154649312,True,0.26946599999999954,True,True,True
